year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2000,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11993,17208,20191203,TOTAL,69.69432821943282
2000,ALABAMA,AL,BALDWIN,1003,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40872,56480,20191203,TOTAL,72.36543909348441
2000,ALABAMA,AL,BARBOUR,1005,PRESIDENT,AL GORE,DEMOCRAT,5188,10395,20191203,TOTAL,49.90860990860991
2000,ALABAMA,AL,BULLOCK,1011,PRESIDENT,AL GORE,DEMOCRAT,3395,4904,20191203,TOTAL,69.22920065252855
2000,ALABAMA,AL,CHILTON,1021,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10066,15092,20191203,TOTAL,66.69758812615956
2000,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,AL GORE,DEMOCRAT,3707,7374,20191203,TOTAL,50.27122321670735
2000,ALABAMA,AL,COFFEE,1031,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9938,15434,20191203,TOTAL,64.39030711416353
2000,ALABAMA,AL,COLBERT,1033,PRESIDENT,AL GORE,DEMOCRAT,10543,21532,20191203,TOTAL,48.964332156789894
2000,ALABAMA,AL,CONECUH,1035,PRESIDENT,AL GORE,DEMOCRAT,2783,5551,20191203,TOTAL,50.13511079084849
2000,ALABAMA,AL,COOSA,1037,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2382,4567,20191203,TOTAL,52.15677687760017
2000,ALABAMA,AL,COVINGTON,1039,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8961,13613,20191203,TOTAL,65.82678322192022
2000,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2793,4795,20191203,TOTAL,58.24817518248175
2000,ALABAMA,AL,CULLMAN,1043,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19157,29525,20191203,TOTAL,64.8839966130398
2000,ALABAMA,AL,DALE,1045,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10593,15806,20191203,TOTAL,67.01885359989878
2000,ALABAMA,AL,ELMORE,1051,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16777,23804,20191203,TOTAL,70.47975130230213
2000,ALABAMA,AL,ETOWAH,1055,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,21087,39348,20191203,TOTAL,53.591033851784076
2000,ALABAMA,AL,GENEVA,1061,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6588,9559,20191203,TOTAL,68.91934302751334
2000,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17478,32137,20191203,TOTAL,54.38591032143635
2000,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14204,23634,20191203,TOTAL,60.099856139460094
2000,ALABAMA,AL,MADISON,1089,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62151,113318,20191203,TOTAL,54.846538061031794
2000,ALABAMA,AL,MARENGO,1091,PRESIDENT,AL GORE,DEMOCRAT,4841,9608,20191203,TOTAL,50.38509575353872
2000,ALABAMA,AL,MARSHALL,1095,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17084,27989,20191203,TOTAL,61.03826503269142
2000,ALABAMA,AL,MOBILE,1097,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,78162,139745,20191203,TOTAL,55.93187591684855
2000,ALABAMA,AL,MORGAN,1103,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25774,42681,20191203,TOTAL,60.38752606546238
2000,ALABAMA,AL,RUSSELL,1113,PRESIDENT,AL GORE,DEMOCRAT,8396,14775,20191203,TOTAL,56.82571912013537
2000,ALABAMA,AL,TALLADEGA,1121,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13807,25451,20191203,TOTAL,54.249341872617975
2000,ALABAMA,AL,TALLAPOOSA,1123,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9805,16253,20191203,TOTAL,60.32732418630407
