year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2000,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,138491,273763,20191203,TOTAL,50.58791728611974
2000,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,479967,901699,20191203,TOTAL,53.22918180013508
2000,ARKANSAS,AR,PULASKI,5119,PRESIDENT,AL GORE,DEMOCRAT,68320,127151,20191203,TOTAL,53.731390236805055
2000,CALIFORNIA,CA,LOS ANGELES,6037,PRESIDENT,AL GORE,DEMOCRAT,1710505,2695154,20191203,TOTAL,63.46594665833567
2000,COLORADO,CO,EL PASO,8041,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,128294,200757,20191203,TOTAL,63.90511912411523
2000,CONNECTICUT,CT,HARTFORD,9003,PRESIDENT,AL GORE,DEMOCRAT,221167,367556,20191203,TOTAL,60.17232748207076
2000,DELAWARE,DE,NEW CASTLE,10003,PRESIDENT,AL GORE,DEMOCRAT,127539,212995,20191203,TOTAL,59.87887039601869
2000,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,11001,PRESIDENT,AL GORE,DEMOCRAT,171923,201894,20191203,TOTAL,85.15508137933767
2000,FLORIDA,FL,BROWARD,12011,PRESIDENT,AL GORE,DEMOCRAT,387703,575143,20191203,TOTAL,67.40984416049574
2000,GEORGIA,GA,DEKALB,13089,PRESIDENT,AL GORE,DEMOCRAT,154509,219980,20191203,TOTAL,70.23774888626238
2000,HAWAII,HI,HONOLULU,15003,PRESIDENT,AL GORE,DEMOCRAT,139618,255990,20191203,TOTAL,54.54041173483339
2000,IDAHO,ID,ADA,16001,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,75050,123485,20191203,TOTAL,60.77661254403369
2000,ILLINOIS,IL,COOK,17031,PRESIDENT,AL GORE,DEMOCRAT,1280547,1865907,20191203,TOTAL,68.62866155708724
2000,INDIANA,IN,MARION,18097,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,137810,279903,20191203,TOTAL,49.234913523613535
2000,IOWA,IA,POLK,19153,PRESIDENT,AL GORE,DEMOCRAT,89715,174167,20191203,TOTAL,51.51090619922258
2000,KANSAS,KS,JOHNSON,20091,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,129965,217536,20191203,TOTAL,59.74413430420712
2000,KENTUCKY,KY,JEFFERSON,21111,PRESIDENT,AL GORE,DEMOCRAT,149901,302362,20191203,TOTAL,49.57666638003453
2000,LOUISIANA,LA,ORLEANS,22071,PRESIDENT,AL GORE,DEMOCRAT,137630,181221,20191203,TOTAL,75.94594445456102
2000,MAINE,ME,CUMBERLAND,23005,PRESIDENT,AL GORE,DEMOCRAT,74203,142620,20191203,TOTAL,52.02846725564437
2000,MARYLAND,MD,MONTGOMERY,24031,PRESIDENT,AL GORE,DEMOCRAT,232453,371688,20191203,TOTAL,62.539818342265555
2000,MASSACHUSETTS,MA,MIDDLESEX,25017,PRESIDENT,AL GORE,DEMOCRAT,404043,657048,20191203,TOTAL,61.49368082697154
2000,MICHIGAN,MI,WAYNE,26163,PRESIDENT,AL GORE,DEMOCRAT,530414,768627,20191203,TOTAL,69.00798436692959
2000,MINNESOTA,MN,HENNEPIN,27053,PRESIDENT,AL GORE,DEMOCRAT,307599,573846,20191203,TOTAL,53.60305726623519
2000,MISSISSIPPI,MS,HINDS,28049,PRESIDENT,AL GORE,DEMOCRAT,46789,87770,20191203,TOTAL,53.30864760168622
2000,MISSOURI,MO,ST. LOUIS COUNTY,29189,PRESIDENT,AL GORE,DEMOCRAT,250631,486884,20191203,TOTAL,51.47653239786069
2000,MONTANA,MT,YELLOWSTONE,30111,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,33922,57499,20191203,TOTAL,58.99580862275866
2000,NEBRASKA,NE,DOUGLAS,31055,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,101025,183156,20191203,TOTAL,55.15789818515364
2000,NEVADA,NV,CLARK,32003,PRESIDENT,AL GORE,DEMOCRAT,196100,382198,20191203,TOTAL,51.3084840841658
2000,NEW HAMPSHIRE,NH,HILLSBOROUGH,33011,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,80649,165761,20191203,TOTAL,48.65378466587436
2000,NEW JERSEY,NJ,BERGEN,34003,PRESIDENT,AL GORE,DEMOCRAT,202682,366721,20191203,TOTAL,55.26871927159884
2000,NEW MEXICO,NM,BERNALILLO,35001,PRESIDENT,AL GORE,DEMOCRAT,99461,204319,20191203,TOTAL,48.679271139737374
2000,NEW YORK,NY,KINGS,36047,PRESIDENT,AL GORE,DEMOCRAT,497468,617105,20191203,TOTAL,80.61318576255256
2000,NORTH CAROLINA,NC,WAKE,37183,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,142494,268220,20191203,TOTAL,53.12579226008501
